route_short_name,stop_id,dep_time_min,lateness_minutes,horizon_minutes,date
1,9005,977.0,-0.22,-30.0,2026-09-06
13,1040,765.0,0.0,-30.0,2026-08-25
110,0100,927.0,0.0,-30.0,2026-09-06
28,2332,1040.0,0.0,-30.0,2026-09-02
35,9019,928.0,0.0,-30.0,2026-09-06
11,2772,934.0,0.0,-30.0,2026-09-06
44,1801,460.0,2.78,-30.0,2026-09-04
35,3452,808.0,0.0,-30.0,2026-08-26
18,6613,927.0,-7.02,-30.0,2026-08-31
39,82,334.0,12.5,-30.0,2026-08-31
3,9037,934.0,0.0,-30.0,2026-09-06
42,2386,1128.0,0.0,-30.0,2026-09-04
39,2466,942.0,-4.25,-30.0,2026-09-06
51,0921,1289.0,-6.33,-30.0,2026-09-14
10,346,536.0,12.8,-30.0,2026-08-25
51,3465,423.0,16.38,-30.0,2026-09-14
57,2639,913.0,26.42,-30.0,2026-08-27
26,588,1032.0,5.33,-30.0,2026-08-31
57,5704,919.0,25.92,-30.0,2026-08-27
66,3192,972.0,0.0,-30.0,2026-09-12
20,3442,947.0,4.27,-30.0,2026-09-06
5,1894,544.0,10.22,-30.0,2026-09-14
109,2044,958.0,0.02,-30.0,2026-09-06
42,3117,927.0,0.0,-30.0,2026-09-06
3,9006,929.0,0.0,-30.0,2026-09-06
103,2622,796.0,0.0,-30.0,2026-08-27
20,1502,926.0,0.0,-30.0,2026-09-06
42,6111,1135.0,0.0,-30.0,2026-09-04
5,1832,1493.0,0.0,-30.0,2026-08-26
13,0540,941.0,-0.23,-29.98,2026-09-06
103,2622,1016.0,0.0,-29.98,2026-08-28
39,2544,697.0,13.9,-29.98,2026-09-02
61,6624,413.0,9.32,-29.98,2026-08-31
1,0875,943.0,3.03,-29.98,2026-09-06
7,2012,910.0,0.0,-29.98,2026-09-06
5,1832,840.0,-5.03,-29.98,2026-09-05
302,1581,863.0,0.0,-29.98,2026-09-09
57,5706,928.0,13.3,-29.98,2026-09-03
61,3385,978.0,5.47,-29.98,2026-08-26
108,829,1032.0,4.15,-29.98,2026-09-03
61,3383,394.0,4.87,-29.98,2026-09-14
44,994,1221.0,0.0,-29.98,2026-08-27
48,1071,599.0,9.45,-29.98,2026-09-05
42,3201,278.0,10.13,-29.98,2026-09-10
71,4526,1021.0,13.53,-29.98,2026-09-10
38,0655,471.0,7.08,-29.98,2026-09-15
57,5715,1059.0,12.83,-29.98,2026-08-27
39,0088,906.0,-2.52,-29.98,2026-09-06
10,1508,914.0,0.0,-29.98,2026-09-06
11,2886,489.0,-10.58,-29.98,2026-09-11
35,3510,937.0,2.42,-29.98,2026-08-28
38,1190,566.0,1.98,-29.98,2026-09-11
48,299,1252.0,0.0,-29.98,2026-08-28
48,4800,980.0,11.13,-29.98,2026-09-05
110,1717,1068.0,0.33,-29.98,2026-08-27
110,3425,756.0,2.88,-29.98,2026-09-09
16,2866,911.0,0.0,-29.98,2026-09-06
42,2395,1387.0,4.4,-29.98,2026-08-28
5,3448,885.0,6.28,-29.98,2026-09-08
1,0877,1165.0,-3.77,-29.98,2026-09-06
51,6026,499.0,-5.8,-29.97,2026-09-14
39,3910,958.0,-8.95,-29.97,2026-09-06
48,57,1324.0,0.0,-29.97,2026-09-03
18,2707,874.0,15.8,-29.97,2026-09-08
48,1762,1321.0,0.0,-29.97,2026-09-14
39,83,1453.0,0.0,-29.97,2026-09-02
44,0901,890.0,0.0,-29.97,2026-09-04
26,9006,906.0,0.0,-29.97,2026-09-06
44,1801,721.0,4.57,-29.97,2026-09-04
4,3123,552.0,14.43,-29.97,2026-09-06
39,2290,946.0,16.1,-29.97,2026-09-11
39,1931,708.0,-0.78,-29.97,2026-09-01
44,0989,890.0,0.0,-29.97,2026-09-04
42,2709,907.0,0.0,-29.97,2026-09-06
101,1194,967.0,5.07,-29.97,2026-09-06
2,336,592.0,-19.15,-29.97,2026-09-03
7,2213,290.0,8.28,-29.97,2026-09-14
23,0446,558.0,8.2,-29.97,2026-09-08
43,42,1241.0,-3.75,-29.97,2026-08-28
39,2215,1355.0,-1.52,-29.97,2026-09-11
42,2385,272.0,11.65,-29.97,2026-09-15
16,3251,907.0,0.0,-29.97,2026-09-06
10,2239,546.0,0.0,-29.97,2026-08-26
35,3455,889.0,0.0,-29.97,2026-09-04
51,3462,416.0,15.9,-29.97,2026-09-02
39,2631,905.0,0.0,-29.97,2026-09-06
42,2386,393.0,10.13,-29.97,2026-09-14
39,88,1454.0,0.0,-29.97,2026-09-02
1,1662,1305.0,15.8,-29.95,2026-09-13
5,1832,540.0,9.42,-29.95,2026-09-09
10,2266,534.0,0.0,-29.95,2026-08-26
7,0480,286.0,8.3,-29.95,2026-09-14
39,2252,647.0,-11.4,-29.95,2026-08-29
110,1717,1001.0,-3.98,-29.95,2026-08-26
51,806,1251.0,-6.18,-29.95,2026-08-26
42,3052,950.0,6.32,-29.95,2026-09-06
1,9156,1377.0,16.37,-29.95,2026-09-13
5,1891,541.0,0.0,-29.95,2026-09-11
23,0446,894.0,0.0,-29.95,2026-09-15
108,2505,1017.0,-1.63,-29.95,2026-08-31
39,2340,1254.0,-4.32,-29.95,2026-09-03
70,1811,1039.0,3.07,-29.95,2026-08-26
1,0548,975.0,17.35,-29.95,2026-09-06
11,379,466.0,-4.75,-29.95,2026-09-01
51,3462,866.0,25.8,-29.95,2026-09-11
3,0069,866.0,-3.73,-29.95,2026-09-11
108,829,989.0,-0.23,-29.95,2026-08-25
61,2585,967.0,-6.92,-29.95,2026-09-06
51,3461,240.0,16.27,-29.95,2026-09-11
20,815,1192.0,0.0,-29.95,2026-08-24
39,943,309.0,0.0,-29.95,2026-08-31
13,1029,888.0,8.07,-29.95,2026-09-09
